Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.053755947,3.781856298,2.289931297,9.695118904
0.062412926,3.154936552,2.467000246,10.61874866
0.072412926,2.719442844,2.730210543,11.52323532
0.082412926,2.719442844,2.730210543,11.52323532
0.092412926,2.719442844,2.730210543,11.52323532
0.102412926,2.719442844,2.730210543,11.52323532
0.112412926,2.953939438,3.381058455,7.881359577
0.122412926,2.953939438,3.381058455,7.881359577
0.132412926,2.953939438,3.381058455,7.881359577
0.142412926,2.953939438,3.381058455,7.881359577
0.152412926,2.910868645,1.600798368,7.713861942
0.162412926,2.642872572,1.261017561,7.599006653
0.172412926,2.642872572,1.261017561,7.599006653
0.182412926,1.929811478,1.773081541,8.115856171
0.192412926,1.929811478,1.773081541,8.115856171
0.202412926,1.929811478,1.773081541,8.115856171
0.212412926,0.183050931,2.495713949,10.82453156
0.222412926,0.096909314,2.926422119,10.63310528
0.232412926,0.05383851,2.89292264,11.0494566
0.242412926,0.331405938,2.873780012,10.36989498
0.252412926,0.652044177,3.151347399,10.07318497
0.262412926,0.814756095,4.855037212,9.728618622
0.272412926,0.939182878,5.788238049,9.628120422
0.282412926,1.274178028,6.482156754,9.987043381
0.292412926,1.948953986,6.549155712,10.34596729
0.302412926,2.398804665,6.496513367,10.13539886
0.312412926,2.293520451,6.616154671,9.78126049
0.322412926,2.293520451,6.616154671,9.78126049
0.332412926,2.293520451,6.616154671,9.78126049
0.342412926,2.293520451,6.616154671,9.78126049
0.352412926,2.293520451,6.616154671,9.78126049
0.362412926,1.944168448,7.917850018,10.23111153
0.372412926,1.944168448,7.917850018,10.23111153
0.382412926,2.049452543,7.702496052,10.80060291
0.392412926,2.049452543,7.702496052,10.80060291
0.402412926,2.537588358,5.38624382,9.70468998
0.412412926,2.882154942,4.55354166,8.613563538
0.422412926,3.164507866,3.945764542,7.565506935
0.432412926,3.375076294,3.553341627,6.603592396
0.442412926,3.466003656,3.30927372,5.751747608
0.452412926,4.164707661,2.289931297,4.411766529
0.462412926,3.480360508,2.127219439,4.31126833
0.472412926,2.633301258,2.151147604,4.158127785
0.482412926,1.795813441,2.266003132,4.349553585
0.492412926,0.824327409,2.318645239,4.861617565
0.502412926,-0.089730851,2.218146563,5.464608669
0.512412926,-0.472582459,1.849651933,5.603392601
0.522412926,-0.472582459,1.849651933,5.603392601
0.532412926,-0.472582459,1.849651933,5.603392601
0.542412926,-0.051445685,0.112462662,4.741976261
0.552412926,-0.051445685,0.112462662,4.741976261
0.562412926,0.412761897,0.236889437,5.589035511
0.572412926,0.594616413,0.136390895,5.880959988
0.582412926,0.594616413,0.136390895,5.880959988
0.592412926,0.594616413,0.136390895,5.880959988
0.602412926,0.364905447,-0.882951558,7.689933777
0.612412926,0.652044177,-1.308874011,8.082356453
0.622412926,0.853041291,-1.572084427,7.967501163
0.632412926,0.996610641,-1.758724689,7.680362701
0.642412926,0.915254653,-1.878365755,7.608577728
0.652412926,0.915254653,-1.878365755,7.608577728
0.662412926,0.235693038,-2.021935225,6.857231617
0.672412926,0.144765764,-2.356930256,7.216155052
0.682412926,-0.094516493,-2.514856577,7.421937466
0.692412926,-0.352941334,-2.620140791,7.503293514
0.702412926,-0.52043891,-2.830709219,7.565506935
0.712412926,-0.52043891,-2.830709219,7.565506935
0.722412926,-0.716650367,-4.15633297,6.847660065
0.732412926,-1.396211982,-4.271188259,6.38823843
0.742412926,-2.157129526,-4.33340168,6.225526333
0.752412926,-2.157129526,-4.33340168,6.225526333
0.762412926,-3.253042459,-4.950749874,7.244868755
0.772412926,-3.253042459,-4.950749874,7.244868755
0.782412926,-3.253042459,-4.950749874,7.244868755
0.792412926,0.948754191,-8.678768158,10.60917759
0.802412926,2.240878344,-9.477970123,11.78644657
0.812412926,3.193221807,-9.932606697,12.78186035
0.822412926,3.762713671,-9.94696331,13.37528038
0.832412926,4.145565033,-9.803394318,13.50449276
0.842412926,6.7202425,-10.38724327,12.95892906
0.852412926,8.711071014,-11.30608654,13.23171139
0.862412926,11.50110245,-12.09093285,13.78206062
0.872412926,14.65484238,-12.80877972,14.16969776
0.882412926,17.49751472,-13.4213419,14.2749815
0.892412926,19.82333946,-13.53141212,13.96391487
0.902412926,24.19263268,-13.07677555,12.81057453
0.912412926,24.19263268,-13.07677555,12.81057453
0.922412926,24.19263268,-13.07677555,12.81057453
0.932412926,24.19263268,-13.07677555,12.81057453
0.942412926,32.56751251,-14.14875984,13.05942822
0.952412926,34.65405273,-14.80917931,13.64327621
0.962412926,36.49652863,-15.38824272,12.99721432
0.972412926,36.49652863,-15.38824272,12.99721432
0.982412926,36.49652863,-15.38824272,12.99721432
0.992412926,40.5356102,-14.12004662,12.35115242
1.002412926,41.8133812,-13.77069473,12.62871933
1.012412926,42.45944214,-13.30170155,13.2269249
1.022412926,42.70829391,-13.19163132,14.8205452
1.032412926,42.70829391,-13.19163132,14.8205452
1.042412926,41.60280991,-17.41735649,20.37189293
1.052412926,40.52603912,-19.56132507,23.08535385
1.062412926,39.44448471,-22.14557266,26.83730125
1.072412926,38.98027802,-25.68695068,30.546175
1.082412926,38.55913925,-30.03231621,33.23571014
1.092412926,38.00879288,-35.30131149,34.80540085
1.102412926,34.69234085,-47.97370148,35.80559921
1.112412926,31.87359428,-57.61677551,35.09253693
1.122412926,27.04487801,-67.90113068,33.50370407
1.132412926,21.01017952,-76.12765503,31.55594635
1.142412926,14.68355656,-81.7077179,27.91885567
1.152412926,8.026723862,-82.48777771,22.43450737
1.162412926,8.026723862,-82.48777771,22.43450737
1.172412926,8.026723862,-82.48777771,22.43450737
1.182412926,-23.69731903,-56.44429398,5.746961594
1.192412926,-32.25883865,-42.39842606,6.469594002
1.202412926,-35.20679474,-33.46841049,6.613163471
1.212412926,-30.06222725,-29.59682274,5.73260498
1.222412926,-24.38166618,-29.77389145,4.292125702
1.232412926,-19.43330956,-25.14138794,-6.815357208
1.242412926,-16.99263,-20.9204483,-12.24706459
1.252412926,-16.99263,-20.9204483,-12.24706459
1.262412926,-11.95813084,-14.03869057,-17.53998756
