Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.042412086,1.934597135,6.774080753,6.584449768
0.051067659,1.853241086,6.664011002,7.06301403
0.061067659,0,0,0
0.071067659,0.704686284,7.338787079,7.110870838
0.081067659,0.187836573,7.334001541,6.790232658
0.091067659,-0.266799718,7.491927624,6.522236347
0.101067659,-0.620937467,7.79820919,6.522236347
0.111067659,-0.821934581,8.013563156,6.780661106
0.121067659,-0.821934581,8.013563156,6.780661106
0.131067659,-0.821934581,8.013563156,6.780661106
0.141067659,-1.400997639,8.573483467,8.335995674
0.151067659,-1.635494232,8.602197647,8.460422516
0.161067659,-1.793420553,8.568697929,8.642276764
0.171067659,-1.817348838,8.463413239,8.88634491
0.181067659,-0.927218795,7.92742157,9.690333366
0.191067659,-0.147158593,7.544569969,9.896116257
0.201067659,0.556331277,7.176074982,9.948758125
0.211067659,1.001396298,6.941578388,9.819545746
0.221067659,1.235892892,6.865008354,9.522835732
0.231067659,1.374676585,6.850651264,9.034700394
0.241067659,1.389033556,6.807580471,8.331210136
0.251067659,1.082752228,6.716653347,6.962515831
0.261067659,0.862612545,6.721438885,6.426523209
0.271067659,0.862612545,6.721438885,6.426523209
0.281067659,0.537188709,6.506084919,6.005386829
0.291067659,0.441475779,6.41037178,6.215955257
0.301067659,0.436690122,6.319444656,6.440880299
0.311067659,0.436690122,6.319444656,6.440880299
0.321067659,0.340977222,6.061019897,6.397809505
0.331067659,0.183050931,6.01316309,6.330810547
0.341067659,0.001196411,6.037091732,6.412166595
0.351067659,0.005982057,6.099305153,6.617949009
0.361067659,0.183050931,6.113661766,6.852446079
0.371067659,0.441475779,6.108876228,6.996015072
0.381067659,0.891326427,6.257231236,7.034300327
0.391067659,0.987039328,6.41037178,6.914659023
0.401067659,0.991824985,6.510870457,6.627520561
0.411067659,0.982253671,6.53958416,6.450451851
0.421067659,1.073180914,6.635297298,6.460022926
0.431067659,1.231107235,6.697510719,6.670591354
