Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.051698443,5.241477966,2.959921598,8.063214302
0.060352818,5.097908497,2.993421078,7.914859295
0.070352818,5.054837704,2.950350285,8.048856735
0.080352818,4.872983456,2.754138947,8.221140862
0.090352818,4.46620369,2.553141832,8.45085144
0.100352818,3.958925009,2.457428932,8.446065903
0.110352818,3.652643681,2.538784742,8.431708336
0.120352818,3.657429457,2.773281336,8.24506855
0.130352818,3.710071564,3.122633457,7.847859859
0.140352818,3.480360508,3.160918713,7.685148239
0.150352818,3.001796007,3.08434844,7.41236639
0.160352818,2.489732027,2.959921598,7.120441914
0.170352818,2.260020971,2.840280533,7.086942673
0.180352818,2.489732027,2.629712105,7.278368473
0.190352818,3.757927895,1.591227055,7.350152969
0.200352818,3.963710785,1.90229404,7.106084824
0.210352818,4.064209461,2.624926329,6.838088989
0.220352818,3.609572887,2.888136864,6.799803734
0.230352818,3.198007345,3.065205812,7.106084824
0.240352818,3.059223652,3.357130051,7.914859295
0.250352818,2.877369165,3.467200041,9.618548393
0.260352818,2.925225735,2.98863554,14.97368622
0.270352818,3.308077335,3.175275564,16.73958969
0.280352818,3.360719442,2.567498684,17.218153
0.290352818,3.489931822,1.859223247,18.06042671
0.300352818,3.432504177,2.170290232,18.32842255
0.310352818,3.50907445,2.945564747,17.81635857
0.320352818,5.36111927,2.964707375,13.3465662
0.330352818,8.084151268,2.256431818,11.42273712
0.340352818,8.084151268,2.256431818,11.42273712
0.350352818,8.084151268,2.256431818,11.42273712
0.360352818,10.98903847,1.414158225,15.23689651
0.370352818,10.98903847,1.414158225,15.23689651
0.380352818,9.046066284,2.117648125,17.27558136
0.390352818,7.864011765,3.151347399,19.30469513
0.400352818,7.916653633,3.567698479,20.36710739
0.410352818,8.371290207,3.735196114,20.57767677
0.420352818,8.433503151,3.850051641,19.81197357
0.430352818,8.012366295,4.256831646,18.16571045
0.440352818,7.351947784,5.185246468,15.93560028
0.450352818,6.945167542,7.152146816,10.1832552
0.460352818,7.390232563,7.908278942,7.54157877
0.470352818,8.05065155,8.43948555,5.660820007
0.480352818,8.672785759,8.693124771,4.756333351
0.490352818,8.902496338,8.693124771,5.325825214
0.500352818,8.160721779,8.501698494,6.488736629
0.510352818,6.725028038,8.252845764,7.455437183
0.520352818,6.725028038,8.252845764,7.455437183
0.530352818,6.725028038,8.252845764,7.455437183
0.540352818,4.121636868,6.573083878,9.570692062
0.550352818,4.121636868,6.573083878,9.570692062
0.560352818,0.771685302,5.8983078,8.833703041
0.570352818,-0.238085851,5.682953835,8.460422516
0.580352818,-0.238085851,5.682953835,8.460422516
0.590352818,-0.238085851,5.682953835,8.460422516
0.600352818,-0.238085851,5.682953835,8.460422516
0.610352818,-0.084945202,4.319045067,5.555535793
0.620352818,-0.635294437,3.979264021,5.263611794
0.630352818,-1.549352646,3.462414265,5.053043365
0.640352818,-1.549352646,3.462414265,5.053043365
0.650352818,-4.746163845,1.686939955,3.985844374
0.660352818,-6.330212116,1.275374413,2.875574589
0.670352818,-7.722835064,1.060020447,1.171884894
0.680352818,-7.722835064,1.060020447,1.171884894
0.690352818,-8.220541954,0.294317186,-1.445863128
0.700352818,-8.33539772,-0.145962179,-2.742773056
