Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.045271059,1.762313843,1.85443759,8.575278282
0.053925954,1.566102386,1.773081541,7.93878746
0.063925954,2.140379906,1.313659668,7.321439266
0.073925954,2.331805706,1.00737834,6.90030241
0.083925954,2.21216464,0.811166883,7.134799004
0.093925954,1.891526341,0.672383189,7.465008259
0.103925954,2.00638175,0.634097993,8.37428093
0.113925954,2.183450699,0.667597532,9.211769104
0.123925954,2.590230465,0.624526739,9.714262009
0.133925954,2.389233351,0.653240561,9.293125153
0.143925954,2.10209465,0.815952539,8.867202759
0.153925954,1.819741607,0.997807026,8.06799984
0.163925954,1.633101463,1.141376376,7.264011383
0.173925954,1.6713866,1.34237349,6.828517437
0.183925954,2.260020971,1.686939955,6.546164513
0.193925954,2.274377823,1.80658114,6.316453457
0.203925954,2.274377823,1.80658114,6.316453457
0.213925954,2.274377823,1.80658114,6.316453457
0.223925954,2.274377823,1.80658114,6.316453457
0.233925954,1.063609719,2.127219439,8.469993591
0.243925954,0.537188709,2.160718918,8.656634331
0.253925954,0.537188709,2.160718918,8.656634331
0.263925954,0.369691104,1.99800694,7.354938507
0.273925954,0.608973384,2.46221447,7.153941631
0.283925954,0.829113066,2.845066071,7.522436142
0.293925954,0.891326427,3.08434844,7.871788502
0.303925954,0.924825966,3.16570425,8.42213726
0.313925954,0.489332229,2.883351326,9.360123634
0.323925954,0.202193514,2.548356056,9.508479118
0.333925954,-0.137587309,2.428714991,9.996614456
0.343925954,-0.606580555,2.476571321,10.13539886
0.353925954,-0.53479588,2.323430777,9.96790123
0.363925954,-0.376869559,2.242074728,9.656833649
0.373925954,-0.195015043,2.203789711,9.336195946
0.383925954,-0.195015043,2.203789711,9.336195946
0.393925954,-0.195015043,2.203789711,9.336195946
0.403925954,0.044267219,2.734996319,10.523036
0.413925954,0.044267219,2.734996319,10.523036
0.423925954,0.202193514,2.060220242,11.58544922
0.433925954,0.173479646,1.495514154,12.16929817
0.443925954,-0.166301176,0.854237676,12.81057453
0.453925954,-0.285942316,0.586241543,12.4181509
0.463925954,-0.285942316,0.586241543,12.4181509
0.473925954,-0.774078131,0.744167864,11.09252739
0.483925954,-1.185643673,0.86380899,10.59482002
0.493925954,-1.668993831,0.839880764,10.35075283
0.503925954,-2.185843468,0.768096089,10.27418232
0.513925954,-2.185843468,0.768096089,10.27418232
0.523925954,-3.73160696,0.169890404,10.34596729
0.533925954,-4.583451748,-0.189032987,10.12582684
0.543925954,-5.779862881,-0.624526739,9.747760773
0.553925954,-6.875775814,-0.978664458,9.422337532
0.563925954,-7.172485828,-1.485942841,9.374481201
0.573925954,-7.172485828,-1.485942841,9.374481201
0.583925954,-7.172485828,-1.485942841,9.374481201
0.593925954,-4.22931385,-3.988835335,9.79083252
0.603925954,-3.12383008,-4.438685894,9.508479118
0.613925954,-1.980060697,-4.615755081,9.029914856
0.623925954,-0.697507799,-4.673182487,7.91007328
0.633925954,1.226321578,-5.156532764,4.861617565
0.643925954,1.987239242,-5.836094379,3.64127779
0.653925954,2.054238319,-6.209374905,3.488137245
0.663925954,2.456232548,-6.769295216,4.852046013
0.673925954,2.973082066,-7.391428947,6.90030241
0.683925954,3.422932863,-7.941778183,9.417551994
0.693925954,3.973282099,-8.606983185,11.60937691
0.703925954,5.566901684,-9.913464546,13.43749332
0.713925954,6.035895348,-10.15753174,13.28913879
0.723925954,6.035895348,-10.15753174,13.28913879
0.733925954,6.035895348,-10.15753174,13.28913879
0.743925954,6.811169624,-10.02353382,13.05464172
0.753925954,7.366304398,-10.13838959,13.18864059
0.763925954,7.366304398,-10.13838959,13.18864059
0.773925954,10.23290634,-10.68395329,13.05464172
0.783925954,10.4913311,-10.70788097,13.04507065
0.793925954,10.4913311,-10.70788097,13.04507065
0.803925954,9.395418167,-11.51665497,13.29870987
0.813925954,9.022137642,-12.36850071,13.87777328
0.823925954,9.113064766,-13.30170155,14.25583935
0.833925954,9.53898716,-14.3689003,14.89233017
0.843925954,9.53898716,-14.3689003,14.89233017
0.853925954,9.53898716,-14.3689003,14.89233017
0.863925954,9.53898716,-14.3689003,14.89233017
0.873925954,21.44088745,-10.84187984,7.632505894
0.883925954,24.64248466,-9.085547447,6.163312912
0.893925954,30.16990471,-5.099104881,5.177470207
0.903925954,33.6825676,-3.936193228,5.770890236
0.913925954,37.05166245,-4.266402721,5.440680504
0.923925954,37.05166245,-4.266402721,5.440680504
0.933925954,42.86622238,-7.185646534,7.048657417
0.943925954,45.14897537,-12.32542896,9.159127235
0.953925954,44.7517662,-20.46581268,15.8686018
0.963925954,44.7517662,-20.46581268,15.8686018
0.973925954,27.97807884,-59.5597496,43.29991913
0.983925954,21.84288216,-71.90192413,42.39064789
0.993925954,21.84288216,-71.90192413,42.39064789
