Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.051848392,3.748356581,1.940579176,9.101698875
0.060503808,3.934996843,1.758724689,8.982057571
0.070503808,4.092923164,1.744367719,8.967700958
0.080503808,4.222135544,1.777867198,8.776275635
0.090503808,4.403990269,1.667797327,8.541778564
0.100503808,4.671986103,1.533799291,8.417351723
0.110503808,4.815555573,1.34237349,8.436494827
0.120503808,4.738985062,1.261017561,8.594420433
0.130503808,4.370490551,1.643869162,8.996415138
0.140503808,4.183850288,1.883151412,9.096913338
0.150503808,4.107280254,1.969292998,9.250054359
0.160503808,4.11685133,1.935793519,9.503693581
0.170503808,4.035495281,1.926222205,9.594620705
0.180503808,3.882354736,1.940579176,9.551549911
0.190503808,3.867997885,1.792224169,9.876974106
0.200503808,3.853640795,1.730010748,10.03489971
0.210503808,3.805784464,1.624726534,10.3411808
0.220503808,4.059423447,1.648654819,10.15932655
0.230503808,4.504488468,1.911865234,9.647262573
0.240503808,4.97826767,2.122433662,8.833703041
0.250503808,5.102694511,2.184647083,8.460422516
0.260503808,4.796412945,2.821137905,8.737990379
0.270503808,4.796412945,2.821137905,8.737990379
0.280503808,4.43748951,3.534198999,9.451051712
0.290503808,4.43748951,3.534198999,9.451051712
0.300503808,4.198207378,3.433700562,9.465408325
0.310503808,4.202992916,3.079562664,9.422337532
0.320503808,4.202992916,3.079562664,9.422337532
0.330503808,4.30827713,2.538784742,9.546764374
0.340503808,4.49970293,2.447857618,9.336195946
0.350503808,4.719842434,2.443071842,9.32662487
0.360503808,4.872983456,2.457428932,9.159127235
0.370503808,5.203192711,2.519642353,8.891130447
0.380503808,5.365904808,2.730210543,9.163912773
0.390503808,5.672185898,3.060420275,9.278767586
0.400503808,5.686542988,3.041277647,9.211769104
0.410503808,5.65304327,2.969492912,9.06341362
0.420503808,5.586044312,2.868994236,8.828917503
0.430503808,5.442475319,2.806781054,8.618349075
0.440503808,5.351547718,2.854637384,8.508278847
0.450503808,5.351547718,2.854637384,8.508278847
0.460503808,5.399404526,2.979064226,8.661419868
0.470503808,5.590830326,2.912065268,8.948558807
0.480503808,5.614758492,2.514856577,8.910273552
0.490503808,5.624329567,2.385644197,8.867202759
0.500503808,5.437689304,2.663211584,8.618349075
0.510503808,5.289334297,3.022135019,8.249854088
0.520503808,5.121836662,3.337987661,8.508278847
0.530503808,5.016552448,3.141776085,8.680562019
0.540503808,4.930410862,2.739781857,8.656634331
0.550503808,4.930410862,2.222932339,8.283353806
0.560503808,5.882754326,1.983649969,8.235497475
0.570503808,6.141179085,1.974078655,8.388637543
0.580503808,5.720042706,1.897508383,8.498707771
0.590503808,5.351547718,1.926222205,8.221140862
0.600503808,5.351547718,1.926222205,8.221140862
0.610503808,5.351547718,1.926222205,8.221140862
0.620503808,4.997410297,1.80658114,7.053442955
0.630503808,5.078765869,1.715653777,6.613163471
0.640503808,5.078765869,1.715653777,6.613163471
0.650503808,5.078765869,1.715653777,6.613163471
0.660503808,5.274977684,1.275374413,5.536393166
0.670503808,5.016552448,1.040877819,5.474180222
0.680503808,4.48534584,0.849452019,5.498108387
0.690503808,3.824927092,0.710668325,5.536393166
0.700503808,3.164507866,0.581455886,5.545964718
0.710503808,2.32701993,0.466600418,4.617549419
0.720503808,2.00638175,0.409172684,3.253640652
0.730503808,1.791027784,0.323031068,1.951945066
0.740503808,1.676172256,0.404387027,0.808175862
0.750503808,1.556531072,0.576670229,-0.158524498
0.760503808,1.604387641,0.552742004,-0.809372246
0.770503808,2.666800737,-0.964307547,-0.933799028
0.780503808,2.666800737,-0.964307547,-0.933799028
0.790503808,2.666800737,-0.964307547,-0.933799028
0.800503808,2.666800737,-0.964307547,-0.933799028
0.810503808,4.638486862,-3.787838221,2.29651165
0.820503808,4.528416634,-4.563112736,2.942573547
0.830503808,3.614358664,-5.142175674,3.760919094
0.840503808,3.614358664,-5.142175674,3.760919094
0.850503808,3.614358664,-5.142175674,3.760919094
0.860503808,0.618544638,-9.066405296,6.814160824
0.870503808,-0.419940382,-10.17188931,7.321439266
0.880503808,-1.329213023,-10.94716358,8.158926964
0.890503808,-1.97527504,-11.77029419,9.202198029
0.900503808,-2.348555326,-13.89990711,11.05424213
0.910503808,-1.802991867,-15.29252911,12.19322586
0.920503808,-1.018146038,-16.83350754,12.90628719
0.930503808,-0.003589234,-18.23091507,12.87757301
0.940503808,1.518245935,-19.27897263,12.4181509
0.950503808,3.332005501,-20.26002884,11.66680527
0.960503808,6.165107727,-21.33201408,10.92981529
0.970503808,13.36271763,-23.32284164,9.656833649
0.980503808,15.76032639,-23.88276291,9.848259926
0.990503808,16.95673752,-24.04547501,11.09731293
1.000503808,17.33480453,-23.99283218,13.25563908
1.010503808,17.74636841,-23.95933342,15.36610889
1.020503808,17.74636841,-23.95933342,15.36610889
1.030503808,17.74636841,-23.95933342,15.36610889
1.040503808,17.74636841,-23.95933342,15.36610889
1.050503808,17.74636841,-23.95933342,15.36610889
1.060503808,17.74636841,-23.95933342,15.36610889
1.070503808,25.35554504,-20.00160408,13.21256828
1.080503808,25.28376007,-18.76212311,11.35573769
1.090503808,25.28376007,-18.76212311,11.35573769
1.100503808,25.28376007,-18.76212311,11.35573769
1.110503808,22.80958176,-14.55554008,6.230311871
1.120503808,22.46022987,-13.52662659,5.292325497
1.130503808,21.31167412,-12.91406345,5.469394207
1.140503808,20.84268188,-12.46899891,7.498507977
1.150503808,21.80459595,-11.62193966,8.675776482
1.160503808,25.274189,-8.64526844,7.125227451
1.170503808,27.03052139,-7.075576782,4.636692047
1.180503808,27.85843849,-5.625525951,1.372882009
1.190503808,27.04966354,-4.400400639,-2.422134638
1.200503808,25.7383976,-2.768495798,-5.489733219
1.210503808,27.74836731,-1.351944804,-6.226722717
1.220503808,27.74836731,-1.351944804,-6.226722717
1.230503808,27.74836731,-1.351944804,-6.226722717
1.240503808,27.74836731,-1.351944804,-6.226722717
1.250503808,27.06880569,-2.754138947,-6.265007973
1.260503808,26.70988274,-3.682554007,-5.274379253
1.270503808,26.29831696,-4.993820667,-4.642673969
1.280503808,26.05903435,-6.295516491,-4.144967079
1.290503808,25.80539513,-7.625925541,-1.991426587
1.300503808,25.80539513,-7.625925541,-1.991426587
1.310503808,25.37947273,-9.1860466,5.622535229
1.320503808,25.37947273,-9.1860466,5.622535229
1.320503808,26.31267357,-11.44008541,7.149155617
1.340503808,27.31287384,-15.01974773,8.723632813
1.350503808,27.31287384,-15.01974773,8.723632813
1.360503808,28.7007103,-19.07318878,6.330810547
1.370503808,29.6291256,-20.36052704,6.340381622
1.380503808,30.6963253,-21.42294121,6.239883423
1.390503808,31.95973587,-22.42314148,5.952744484
1.400503808,33.12264633,-23.55733871,5.555535793
1.410503808,34.06063461,-24.8351059,5.115256786
1.420503808,35.01776123,-26.8690052,4.899902344
1.430503808,35.01776123,-26.8690052,4.899902344
1.440503808,35.33840179,-29.77389145,6.895516872
1.450503808,35.54896927,-31.61636543,8.680562019
1.460503808,35.62554169,-33.67897797,10.65224838
1.470503808,35.63511276,-35.78944778,12.82014561
1.480503808,35.68296814,-39.7950325,17.12244034
1.490503808,35.68296814,-39.7950325,17.12244034
1.500503808,35.68296814,-39.7950325,17.12244034
1.510503808,35.52982712,-44.09732819,18.41934967
1.520503808,35.94617844,-46.80121994,16.19881058
1.530503808,35.60161209,-50.0841713,13.94955826
1.540503808,34.08934784,-53.16612625,13.31306744
1.550503808,34.08934784,-53.16612625,13.31306744
1.560503808,34.08934784,-53.16612625,13.31306744
1.570503808,34.08934784,-53.16612625,13.31306744
1.580503808,12.09930801,-53.0225563,39.26562119
1.590503808,6.576673031,-51.42415237,39.86382675
1.600503808,0.680758059,-50.17988205,36.18844986
1.610503808,0.680758059,-50.17988205,36.18844986
1.620503808,-24.78844643,-42.49413681,13.23171139
1.630503808,-31.15814018,-39.34996796,5.105685234
1.640503808,-35.82414246,-35.37788391,-0.842871785
1.650503808,-41.0357132,-28.53919601,-1.359721422
1.660503808,-40.88257217,-23.9689045,0.726819873
1.670503808,-29.34438133,-22.62413788,3.124428272
1.680503808,-29.34438133,-22.62413788,3.124428272
1.680503808,-24.76451874,-21.26501465,1.698305845
1.700503808,-18.86381721,-18.74776459,-4.245465755
1.710503808,-17.72961998,-17.02014732,-6.073582172
1.720503808,-16.67199135,-15.26381588,-6.183651924
1.730503808,-14.9156599,-14.44068432,-4.781457901
1.740503808,-14.9156599,-14.44068432,-4.781457901
1.750503808,-14.9156599,-14.44068432,-4.781457901
1.760503808,-9.177671432,-12.81356525,0.789033294
1.770503808,-8.545966148,-12.41635704,1.028315544
1.780503808,-8.009973526,-12.0670042,1.143171072
1.790503808,-7.445267677,-11.68893814,1.358525038
1.800503808,-7.445267677,-11.68893814,1.358525038
1.810503808,-5.186442852,-10.44945621,2.674577475
1.820503808,-3.640679598,-10.28195858,3.406781197
1.830503808,-1.645065546,-10.10488987,3.947559118
1.840503808,0.149551421,-9.836894035,3.942773581
1.850503808,1.470389485,-9.468399048,3.215355396
1.860503808,2.34137702,-9.209974289,2.004587173
1.870503808,2.963510752,-8.965906143,-0.550947428
1.880503808,2.925225735,-8.750552177,-1.326221943
1.890503808,2.61415863,-8.784051895,-1.65164578
1.900503808,2.350948334,-8.669196129,-1.225723386
1.910503808,2.762513638,-8.190631866,-0.062811591
1.920503808,3.815355778,-7.755138397,1.372882009
1.930503808,6.581458569,-7.788637638,1.951945066
1.940503808,7.653443336,-8.061419487,1.138385415
1.950503808,7.653443336,-8.061419487,1.138385415
1.960503808,7.653443336,-8.061419487,1.138385415
1.970503808,8.993423462,-8.946763992,-2.221137524
1.980503808,9.328418732,-8.740981102,-2.048854351
1.990503808,9.988838196,-8.74576664,-0.81894356
2.000503808,9.988838196,-8.74576664,-0.81894356
2.010503808,15.12383556,-10.75095177,2.961716175
2.020503808,16.87059593,-11.63629627,3.669991732
2.030503808,18.14836311,-12.08614731,4.134199142
2.040503808,18.5982132,-12.19143105,4.426123619
2.050503808,18.48814392,-12.05264759,4.674977303
2.060503808,17.62672806,-11.94257736,4.646263599
2.070503808,17.62672806,-11.94257736,4.646263599
2.080503808,17.62672806,-11.94257736,4.646263599
2.090503808,17.22951889,-12.46899891,4.091128349
2.100503808,16.98066521,-12.56949711,3.84706068
2.110503808,16.43510246,-12.48814106,4.019343853
2.120503808,15.43490219,-12.58385468,5.71824789
2.130503808,15.43490219,-12.58385468,5.71824789
2.140503808,15.47797298,-13.24427319,7.752147198
2.150503808,15.59761429,-13.38784313,8.072785378
2.160503808,15.81775379,-13.46441269,7.914859295
2.170503808,15.94696617,-13.71326637,7.192226887
2.180503808,15.86082458,-14.0865469,6.081956863
2.190503808,15.03769398,-14.15833187,4.402195454
2.200503808,15.03769398,-14.15833187,4.402195454
2.210503808,14.15234947,-13.57926846,4.933402061
2.220503808,13.91306686,-13.41655636,5.392824173
2.230503808,13.62114334,-13.14856052,5.828317642
2.240503808,13.716856,-12.81356525,6.431309223
2.250503808,13.716856,-12.81356525,6.431309223
2.260503808,15.95175171,-12.88056469,6.933801651
2.270503808,16.45903015,-12.6747818,6.330810547
2.280503808,16.95673752,-12.3924284,5.560321808
2.290503808,17.51187325,-12.30150127,4.526622295
2.300503808,18.05743599,-12.18664551,3.363710403
2.310503808,18.62214279,-12.02393341,2.416152716
2.320503808,20.6321125,-12.15314579,0.903888762
2.330503808,21.97209358,-11.7463665,-0.206380948
2.340503808,23.41257286,-11.18166065,-1.216152072
2.350503808,25.13061905,-10.94237804,-2.134995937
2.360503808,26.78645325,-10.74616623,-3.412763357
2.370503808,28.25564575,-10.40159988,-4.594817638
2.380503808,28.25564575,-10.40159988,-4.594817638
2.390503808,30.70111084,-10.00439167,-9.552745819
2.400503808,30.79203796,-10.02353382,-9.916455269
2.410503808,30.658041,-10.26760197,-8.916254997
2.420503808,30.06940651,-10.04267693,-6.872784615
2.430503808,29.5669136,-9.784252167,-4.523033142
2.440503808,29.61476898,-10.54516983,-2.766701221
2.450503808,30.24647522,-12.73699474,-0.220737889
2.460503808,30.40918732,-13.70848083,0.73160553
2.470503808,30.08376312,-14.80439377,1.339382529
2.480503808,29.21756172,-16.07737541,1.535593987
2.490503808,27.9732933,-17.30249977,2.167299032
2.500503808,26.90130806,-18.69990921,3.277568817
2.510503808,25.19761848,-21.6478672,4.588835716
2.520503808,25.19761848,-21.6478672,4.588835716
2.530503808,25.19761848,-21.6478672,4.588835716
2.540503808,25.19761848,-21.6478672,4.588835716
2.550503808,25.29333115,-23.98804665,6.335596085
2.560503808,25.49911499,-24.58625221,7.096513748
2.570503808,25.48954391,-25.10310173,7.843074322
2.580503808,25.48954391,-25.10310173,7.843074322
2.590503808,27.08316231,-25.08874512,9.522835732
2.600503808,28.91606522,-25.96451759,9.503693581
2.610503808,30.82075119,-27.18485832,9.403194427
2.620503808,32.62493896,-28.83111954,9.412766457
2.630503808,33.77828217,-30.54438019,9.551549911
2.640503808,34.77848053,-34.33939743,10.89153004
2.650503808,34.77848053,-34.33939743,10.89153004
2.660503808,36.40081406,-39.97210312,11.7146616
2.670503808,36.18067551,-42.20699692,11.70030499
2.680503808,34.68276596,-43.87718964,12.13579845
2.690503808,32.9168663,-46.76293182,13.37528038
2.700503808,28.26521683,-55.44887924,20.12782669
2.710503808,25.82932472,-60.47859192,24.7220459
2.720503808,21.07717896,-62.14878082,29.21098137
2.730503808,15.4109745,-60.75616074,33.67598724
2.740503808,10.33340454,-57.47799301,37.11686707
2.750503808,5.581258774,-53.34319687,39.40440369
2.760503808,-0.151944235,-48.19384003,38.84448624
2.770503808,-0.151944235,-48.19384003,38.84448624
2.780503808,-0.151944235,-48.19384003,38.84448624
2.790503808,-34.04388428,-35.54059601,18.62034798
2.800503808,-40.80599976,-32.40599823,11.2887392
2.810503808,-44.15116882,-28.14677238,6.172883987
2.820503808,-42.38047791,-25.58166695,3.818346739
2.830503808,-42.38047791,-25.58166695,3.818346739
2.840503808,-24.7980175,-20.4179554,-4.17846632
2.850503808,-24.7980175,-20.4179554,-4.17846632
2.860503808,-16.44228172,-16.09173203,-11.95992565
2.870503808,-14.65244961,-13.82812214,-14.87916946
2.880503808,-13.25982666,-12.31107235,-16.02293777
2.890503808,-11.45085239,-11.57886887,-15.10888004
2.900503808,-8.416753769,-12.33978653,-8.428119659
2.910503808,-7.454838753,-13.19641685,-4.594817638
2.920503808,-7.205985546,-13.8233366,-0.933799028
2.930503808,-7.162914753,-14.12483215,1.870589137
2.940503808,-7.162914753,-14.12483215,1.870589137
2.950503808,-7.162914753,-14.12483215,1.870589137
2.960503808,-7.162914753,-14.12483215,1.870589137
2.970503808,-7.162914753,-14.12483215,1.870589137
2.980503808,-7.162914753,-14.12483215,1.870589137
2.990503808,-3.075973511,-9.990034103,0.592821836
3.000503808,-2.027917147,-9.444471359,0.45882374
3.010503808,-1.022931695,-9.032905579,0.717248559
3.020503808,0.144765764,-8.788837433,1.363310695
3.030503808,0.144765764,-8.788837433,1.363310695
3.040503808,2.307877541,-8.831908226,2.47358036
3.050503808,2.791227579,-9.095118523,2.688934565
3.060503808,3.150151014,-9.181260109,2.717648268
3.070503808,3.427718401,-9.047262192,2.885145903
3.080503808,3.800998688,-8.822337151,3.282354355
3.090503808,4.839483738,-9.214759827,3.861417532
3.100503808,4.84905529,-9.626325607,4.545764923
3.110503808,4.695914268,-9.865608215,5.33539629
3.120503808,4.671986103,-10.01396275,6.225526333
3.130503808,5.112265587,-10.53081226,7.42672348
3.140503808,5.815755367,-11.63629627,8.733204842
3.150503808,7.462017536,-13.52184105,10.62831974
3.160503808,8.361719131,-14.38804245,10.86760235
3.170503808,8.361719131,-14.38804245,10.86760235
3.180503808,8.361719131,-14.38804245,10.86760235
3.190503808,11.32403278,-16.13958931,9.747760773
3.200503808,12.29551888,-16.64208221,9.833903313
3.210503808,13.2717905,-17.28335762,10.12582684
3.220503808,15.90868092,-19.14018822,11.56630611
3.230503808,17.78944016,-20.00160408,12.56172085
3.240503808,19.63669968,-20.45624161,13.46142197
3.250503808,20.90011024,-20.42752647,13.64327621
3.260503808,21.8237381,-19.94417763,13.30828094
3.270503808,22.50329971,-19.52304077,12.28415298
3.280503808,22.8526535,-19.59482384,9.010771751
3.290503808,21.89552307,-19.63789558,7.589435101
3.300503808,20.70389748,-19.88674927,6.809374809
3.310503808,19.40220261,-20.59502411,6.756732941
3.320503808,19.40220261,-20.59502411,6.756732941
3.330503808,16.88973808,-21.29372787,8.991629601
3.340503808,17.51187325,-21.52343941,11.33659554
3.350503808,17.51187325,-21.52343941,11.33659554
3.360503808,17.51187325,-21.52343941,11.33659554
3.370503808,25.08754921,-21.0209465,12.60957718
3.380503808,26.0398922,-20.28874397,9.374481201
3.390503808,26.01596451,-19.09711838,5.943173409
3.400503808,25.91068077,-18.19741631,3.421138287
3.410503808,25.44647217,-16.78086472,1.449452281
3.420503808,26.0398922,-16.17308807,2.138585329
3.430503808,26.0398922,-16.17308807,2.138585329
3.440503808,26.0398922,-16.17308807,2.138585329
3.450503808,28.2365036,-14.34018612,2.492722988
3.460503808,29.48555756,-13.3782711,1.109671474
3.470503808,31.26581764,-12.55992603,-0.924227774
3.480503808,33.2566452,-9.09990406,-7.719843864
3.490503808,34.37648773,-8.812766075,-11.71585751
3.500503808,35.28575897,-8.554341316,-14.71645737
3.510503808,35.36711502,-8.147561073,-16.03251076
3.520503808,34.9124794,-8.061419487,-15.7932272
3.530503808,34.28556061,-7.678567886,-14.39103317
3.540503808,34.28556061,-7.678567886,-14.39103317
3.550503808,34.28556061,-7.678567886,-14.39103317
3.560503808,34.28556061,-7.678567886,-14.39103317
3.570503808,28.28436089,-13.6031971,-3.848257065
3.580503808,28.28436089,-13.6031971,-3.848257065
3.590503808,27.50429916,-16.80479431,2.191227436
3.600503808,27.22673225,-18.21177292,3.713062525
3.610503808,27.22673225,-18.21177292,3.713062525
3.620503808,27.22673225,-18.21177292,3.713062525
3.630503808,27.22673225,-18.21177292,3.713062525
3.640503808,26.34617424,-23.63390923,-4.111467361
3.650503808,27.35594559,-24.56232452,-3.565903902
3.660503808,28.78685188,-25.73480797,-2.1302104
3.670503808,28.78685188,-25.73480797,-2.1302104
3.680503808,31.63909721,-29.24268532,3.311068296
3.690503808,32.9551506,-30.51566696,4.698905468
3.700503808,34.57748413,-32.16193008,5.885745525
3.710503808,36.6065979,-34.10968781,7.369295597
3.720503808,38.49214172,-36.65565109,8.556135178
3.730503808,38.49214172,-36.65565109,8.556135178
3.740503808,38.40599823,-43.86761856,11.92044449
3.750503808,37.32444382,-45.92065811,13.98784256
3.760503808,36.00839233,-47.26542664,16.0265274
3.770503808,34.47219849,-47.9641304,17.59143448
3.780503808,32.99822235,-48.69154739,18.78306007
3.790503808,31.77788162,-50.77808762,19.17069626
3.800503808,27.13101959,-56.98507309,20.16132545
3.810503808,22.87179565,-59.31568146,23.04706955
3.820503808,16.98066521,-58.58826065,28.92384148
3.830503808,11.137393,-55.26223755,37.29393387
3.840503808,6.299105644,-50.95037079,45.07539368
3.850503808,3.231507063,-46.87778854,48.2769928
3.860503808,0.431904495,-41.7523613,32.61835861
3.870503808,-1.597209096,-42.7812767,17.218153
3.880503808,-1.597209096,-42.7812767,17.218153
3.890503808,-1.597209096,-42.7812767,17.218153
3.900503808,-1.597209096,-42.7812767,17.218153
3.910503808,-50.22415161,-35.72245026,-12.98405361
3.920503808,-53.20082092,-29.50589561,-3.307479143
3.930503808,-53.20082092,-29.50589561,-3.307479143
3.940503808,-27.87040138,-20.50888252,15.83031654
3.950503808,-24.01317215,-17.30249977,9.494122505
3.960503808,-20.34736824,-16.74736595,1.540379524
3.970503808,-17.09791374,-16.53201103,-2.335993052
3.980503808,-15.29372597,-15.16810226,-0.62751776
3.990503808,-15.29372597,-15.16810226,-0.62751776
4.000503808,-15.56650734,-12.51685524,6.120242119
4.010503808,-15.68136311,-11.64586735,5.115256786
4.020503808,-14.60937881,-11.28215885,3.909274101
4.030503808,-12.36012554,-11.26301575,3.430709362
4.040503808,-9.560523033,-11.33480072,3.617349625
4.050503808,-6.99063158,-11.35872936,4.100699902
4.060503808,-3.358326674,-10.73180962,2.684148788
4.070503808,-2.315055847,-9.994820595,1.688734531
4.080503808,-2.315055847,-9.994820595,1.688734531
4.090503808,-0.2955136,-9.717252731,0.056829538
4.100503808,0.50368917,-9.693324089,-0.254237413
4.110503808,1.546959877,-9.741181374,0.090329058
4.120503808,1.546959877,-9.741181374,0.090329058
4.130503808,1.546959877,-9.741181374,0.090329058
4.140503808,4.997410297,-11.57408333,1.597807288
4.150503808,5.026124001,-11.57886887,1.832303882
4.160503808,4.983053207,-11.65543938,2.200798512
4.170503808,5.160121918,-11.75115204,2.516651154
4.180503808,5.160121918,-11.75115204,2.516651154
4.190503808,5.160121918,-11.75115204,2.516651154
4.200503808,7.265805721,-13.23948765,3.105285645
4.210503808,7.576872826,-13.79940796,3.445066452
4.220503808,7.734799385,-14.18225956,4.31126833
4.230503808,8.117650986,-14.44068432,5.804389477
4.240503808,8.921639442,-15.08674717,7.71864748
4.250503808,11.80738354,-17.13978767,9.900901794
4.260503808,13.75514126,-18.26441574,9.958329201
4.270503808,15.35354614,-19.17847443,9.178269386
4.280503808,16.39681625,-19.57089615,7.914859295
4.290503808,16.75095558,-19.56611061,6.536593437
4.300503808,16.53560066,-19.36511421,5.445466042
4.310503808,16.53560066,-19.36511421,5.445466042
4.320503808,16.53560066,-19.36511421,5.445466042
4.330503808,16.53560066,-19.36511421,5.445466042
4.340503808,16.31067467,-20.38924217,10.47039413
4.350503808,17.67937088,-21.2841568,12.04008579
4.360503808,18.8997097,-21.86800575,12.85843086
4.370503808,19.54577255,-21.71965027,12.49472141
