Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.041197042,5.370690346,4.52482748,7.388438225
0.049852042,5.408975601,4.261617184,7.149155617
0.059852042,5.547759533,4.031906128,7.335795879
0.069852042,5.643472195,3.687339783,7.378866673
0.079852042,5.447260857,3.462414265,7.407580853
0.089852042,5.011766911,3.361915827,7.42672348
0.099852042,4.360919476,3.366701365,7.22094059
0.109852042,3.705285788,3.495913982,6.919445038
0.119852042,2.690729141,3.797409534,6.594020844
0.129852042,2.346162558,3.912265062,6.541378975
0.139852042,2.092523336,3.907479286,6.536593437
0.149852042,1.934597135,3.869194269,6.608377934
0.159852042,1.877169371,3.749552965,6.761518478
0.169852042,1.829312921,3.529413462,6.589235306
0.179852042,1.829312921,3.529413462,6.589235306
0.189852042,1.829312921,3.529413462,6.589235306
0.199852042,1.829312921,3.529413462,6.589235306
0.209852042,1.326820135,3.26141715,5.775675774
0.219852042,1.283749342,3.318845034,5.775675774
0.229852042,1.164108157,3.419343472,5.866602898
0.239852042,1.106680512,3.443271875,6.225526333
0.249852042,0.709471941,3.170490026,6.393023968
0.259852042,0.336191595,3.285345554,6.101099491
0.269852042,-0.214157626,3.663411379,5.555535793
0.279852042,-0.826720238,4.247260094,5.081757069
0.289852042,-1.300499082,4.907679081,5.158327579
0.299852042,-1.841277003,5.496313572,6.148955822
0.309852042,-3.157329559,6.39601469,10.25982571
0.319852042,-3.678964853,6.501298904,12.57607746
0.329852042,-3.975674868,6.305087566,14.26541042
0.339852042,-3.927818298,5.845665932,15.03589916
0.349852042,-3.410968781,5.266602516,15.08854103
0.359852042,-2.472982168,4.630111694,14.60519123
0.369852042,-1.396211982,4.146761417,13.88734436
0.379852042,-1.396211982,4.146761417,13.88734436
0.389852042,-1.396211982,4.146761417,13.88734436
0.399852042,-1.396211982,4.146761417,13.88734436
0.409852042,-0.017946171,7.104290485,12.24108219
0.419852042,0.221336097,7.640282631,12.22194004
0.429852042,0.628115952,7.889136314,11.88694477
0.439852042,1.7670995,7.788637638,10.29332447
0.449852042,1.7670995,7.788637638,10.29332447
0.459852042,1.7670995,7.788637638,10.29332447
0.469852042,1.7670995,7.788637638,10.29332447
0.479852042,2.599801779,8.444271088,10.41775131
0.489852042,2.748156786,8.736195564,10.8867445
0.499852042,2.867797852,8.946763992,11.08774185
0.509852042,2.867797852,8.946763992,11.08774185
0.519852042,2.867797852,8.946763992,11.08774185
0.529852042,1.489532113,9.032905579,7.742575645
0.539852042,1.235892892,8.822337151,6.804589272
0.549852042,1.125823021,8.382058144,6.134599209
0.559852042,1.125823021,7.970492363,6.115456581
0.569852042,1.389033556,7.353144169,7.536793232
0.579852042,1.307677627,7.171289444,7.857431412
0.589852042,1.073180914,7.042077065,7.804789066
0.599852042,0.699900627,6.994220734,7.479365349
0.609852042,0.269192547,6.93679285,7.096513748
0.619852042,-0.108873427,6.87457943,6.737590313
0.629852042,-0.898504913,6.534798622,5.947958946
0.639852042,-1.190429211,6.300302029,5.598606586
0.649852042,-1.190429211,6.300302029,5.598606586
0.659852042,-1.266999602,6.175875187,5.593821049
0.669852042,-0.778863788,5.893522263,6.05324316
0.679852042,-0.022731815,5.481956482,6.570092678
0.689852042,-0.022731815,5.481956482,6.570092678
0.699852042,-0.022731815,5.481956482,6.570092678
0.709852042,1.460818172,5.247459888,6.081956863
0.719852042,1.183250785,5.443671703,5.268397331
0.729852042,0.987039328,5.682953835,4.698905468
0.739852042,1.001396298,5.745167255,4.746761799
0.749852042,0.513260484,6.084948063,4.761118889
0.759852042,0.489332229,6.032305717,4.110270977
0.769852042,0.618544638,6.24766016,3.473780155
0.779852042,0.656829834,6.769295216,3.277568817
0.789852042,0.704686284,7.405786037,3.516851187
0.799852042,0.814756095,7.936992645,3.727419376
0.809852042,0.867398202,8.382058144,3.75134778
0.819852042,0.867398202,8.382058144,3.75134778
0.829852042,0.867398202,8.382058144,3.75134778
0.839852042,-0.396012157,10.53081226,0.798604548
0.849852042,-0.396012157,10.53081226,0.798604548
0.859852042,-0.644865692,12.19143105,-1.043868899
0.869852042,-0.879362345,12.94756317,-1.029511929
0.879852042,-1.252642632,13.51705551,-0.546161771
0.889852042,-1.697707653,14.76610851,0.544965386
0.899852042,-1.788634896,15.27338696,0.87517488
0.909852042,-1.587637782,15.55095482,0.712462962
0.919852042,-1.156929731,15.77587986,-0.096311115
0.929852042,-0.687936485,15.87159252,-1.407577872
0.939852042,-0.022731815,15.8380928,-2.206780672
0.949852042,0.613758981,15.96251965,-2.149353027
0.959852042,1.149751306,16.73300934,-0.187238365
0.969852042,0.934397221,17.25942993,0.262612283
0.979852042,0.532403052,17.34557152,-0.62751776
0.989852042,0.245264322,16.82393646,-2.54656148
0.999852042,0.025124637,15.72323799,-5.011168957
1.009852042,0.235693038,14.28754425,-7.470990658
1.019852042,0.465404004,10.10488987,-9.040681839
1.029852042,0.001196411,10.55952644,-8.514261246
1.039852042,-0.161515534,9.473184586,-8.418548584
1.049852042,0.125623181,6.970292568,-8.873184204
1.059852042,1.379462242,5.046463013,-8.193622589
1.069852042,2.886940479,3.438486099,-4.905884743
1.079852042,4.585844517,0.275174618,11.96351528
1.089852042,4.585844517,0.275174618,11.96351528
1.099852042,4.585844517,0.275174618,11.96351528
1.109852042,4.585844517,0.275174618,11.96351528
1.119852042,5.260620594,0.906879783,35.43231964
1.129852042,5.385047436,2.222932339,26.26302338
1.139852042,5.743970871,3.041277647,19.63011932
1.149852042,5.743970871,3.041277647,19.63011932
1.159852042,6.370890141,0.538385093,24.2961235
1.169852042,6.17946434,0.614955425,27.09572601
1.179852042,5.46161747,0.792024314,25.43032074
1.189852042,4.413561344,0.854237676,20.34796524
1.199852042,3.55693078,1.42372942,14.96890068
1.209852042,3.55693078,1.42372942,14.96890068
1.219852042,3.55693078,1.42372942,14.96890068
1.229852042,0.876969516,2.419143677,12.37508011
1.239852042,1.613958836,2.993421078,14.01655674
