Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.048986412,5.734399319,2.888136864,8.197212219
0.057641256,5.983253002,2.605783939,7.93878746
0.067641256,0,0,0
0.067641256,5.959324837,2.543570518,7.914859295
0.087641256,4.356133461,2.964707375,7.302296638
0.097641256,3.982853174,3.424129248,7.41236639
0.107641256,3.958925009,3.773481369,7.71864748
0.117641256,4.179064751,3.950550079,7.886145115
0.127641256,4.43748951,3.481556892,8.962915421
0.137641256,4.456632137,3.007778168,9.101698875
0.147641256,4.269991875,2.754138947,9.264410973
0.157641256,3.757927895,2.720639229,9.149555206
0.167641256,3.150151014,2.854637384,8.876773834
0.177641256,2.695514679,3.055634499,8.613563538
0.187641256,2.666800737,3.395415306,8.187641144
0.197641256,3.049652576,3.452843189,7.986643791
0.207641256,3.466003656,3.486342669,7.852645874
0.217641256,3.714857101,3.548556089,7.752147198
0.227641256,3.738785267,3.625126362,7.771289825
0.237641256,3.628715515,3.744767427,7.847859859
0.247641256,3.394218922,3.864408493,7.890930653
0.257641256,3.748356581,3.438486099,8.082356453
0.267641256,4.059423447,3.974478483,7.996214867
0.277641256,4.150351048,4.323830605,8.087141991
0.287641256,4.384847641,4.285545349,8.364709854
0.297641256,4.767699242,4.103690624,8.364709854
0.307641256,5.040481091,4.036691666,8.55134964
0.317641256,4.791627407,3.902693748,8.55134964
0.327641256,4.356133461,3.735196114,8.58006382
0.337641256,4.10249424,3.519842148,8.623134613
0.347641256,3.901497364,3.371487141,8.47956562
0.357641256,3.743571043,3.280559778,8.235497475
0.367641256,3.49471736,3.299702406,7.957930088
0.377641256,3.293720484,3.428914785,7.728219032
0.387641256,3.293720484,3.428914785,7.728219032
0.397641256,3.293720484,3.428914785,7.728219032
0.407641256,3.470789194,3.735196114,8.082356453
0.417641256,3.733999729,3.237488985,8.192426682
0.427641256,3.489931822,3.558127165,8.058428764
0.437641256,3.47557497,4.213760853,8.106285095
0.447641256,3.47557497,4.213760853,8.106285095
0.457641256,4.092923164,6.352943897,10.35553837
0.467641256,5.002195835,7.089933395,11.15474129
0.477641256,5.787041664,7.372286797,12.05444241
0.487641256,6.557530403,7.554141045,12.37508011
0.497641256,7.481160164,7.76949501,12.580863
0.507641256,9.53898716,8.099704742,13.67199039
0.517641256,13.1138649,6.55394125,16.58644867
0.527641256,13.1138649,6.55394125,16.58644867
0.537641256,15.33440399,5.687739372,18.0460701
0.547641256,15.11905003,6.156732559,17.65364647
0.557641256,14.67877007,6.845865726,17.14158249
0.567641256,14.2432766,7.142575741,16.42852211
0.577641256,14.2432766,7.142575741,16.42852211
0.587641256,13.10429287,8.377271652,15.75374603
0.597641256,12.83629704,8.626125336,15.60060501
0.607641256,12.54437256,8.224131584,15.13161182
0.617641256,12.386446,7.209574699,14.78704548
0.627641256,12.13759327,6.022734642,14.52862072
0.637641256,12.13759327,6.022734642,14.52862072
0.647641256,9.778269768,3.883551121,14.34198093
