Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.056811946,4.748556614,3.730410576,8.197212219
0.065466581,4.801198483,3.160918713,8.130212784
0.075466581,0,0,0
0.085466581,0,0,0
0.095466581,0,0,0
0.105466581,5.777470112,2.739781857,8.053643227
0.115466581,5.777470112,2.739781857,8.053643227
0.125466581,4.633700848,3.30927372,7.895716667
0.135466581,4.633700848,3.30927372,7.895716667
0.145466581,4.633700848,3.30927372,7.895716667
0.155466581,4.030709743,2.873780012,7.211369038
0.165466581,3.920639992,2.849851847,6.991229534
0.175466581,3.647858143,2.677568436,7.120441914
0.185466581,3.221935749,2.691925526,7.445865631
0.195466581,3.221935749,2.691925526,7.445865631
0.195466581,2.193022013,2.931207657,7.517650604
0.215466581,2.293520451,3.141776085,7.488936901
0.225466581,3.068794966,3.026920557,7.086942673
0.235466581,3.724428415,3.323630571,6.88594532
0.245466581,3.863212109,3.6299119,6.70887661
0.255466581,4.016352654,3.854837179,6.617949009
0.265466581,4.016352654,3.854837179,6.617949009
0.275466581,3.939782381,4.060619831,7.273582458
0.285466581,3.633501291,4.02712059,7.498507977
0.295466581,3.437289715,4.031906128,7.594220638
0.305466581,3.303291559,4.0127635,7.575078487
0.315466581,3.1405797,3.936193228,7.436294556
0.325466581,3.1405797,3.936193228,7.436294556
0.335466581,2.762513638,3.768695593,6.905087948
0.345466581,2.762513638,3.768695593,6.905087948
0.355466581,2.303091764,3.299702406,5.995815277
0.365466581,1.929811478,3.050848961,6.972086906
0.375466581,1.695314884,3.136990547,7.321439266
0.385466581,1.460818172,2.950350285,7.149155617
0.395466581,1.288534999,2.017149448,6.369095802
0.405466581,1.039681435,1.452443361,5.938387394
0.415466581,0.604187727,1.00737834,5.713462353
0.425466581,0.111266255,0.787238657,5.397609711
0.435466581,-0.300299227,0.658026218,4.751547337
0.445466581,-0.539581478,0.313459754,3.88056016
0.455466581,-0.539581478,0.313459754,3.88056016
0.465466581,-0.539581478,0.313459754,3.88056016
0.475466581,-1.300499082,-2.447857618,-0.646660328
0.485466581,-1.176072359,-2.921636343,-0.981655478
0.495466581,-0.845862806,-3.960121393,-0.881156921
0.505466581,-0.778863788,-5.5154562,-0.996012449
0.515466581,-1.027717352,-6.88893652,-1.345364571
0.525466581,-1.027717352,-6.88893652,-1.345364571
0.535466581,-6.196214199,-8.592626572,4.15334177
0.545466581,-6.196214199,-8.592626572,4.15334177
0.555466581,-4.683950424,-11.60279655,6.488736629
0.565466581,-4.640879631,-13.11027527,8.101499557
0.575466581,-3.521038532,-14.08176136,8.417351723
0.585466581,-0.161515534,-15.00060558,9.76211834
0.595466581,2.336591244,-15.42652798,10.1832552
0.605466581,4.494917393,-15.79980755,10.03011417
0.615466581,6.088537216,-16.14437485,9.474979401
0.625466581,7.596015453,-16.39322853,8.881559372
0.635466581,9.677771568,-16.57508278,8.714061737
0.645466581,9.677771568,-16.57508278,8.714061737
0.655466581,9.677771568,-16.57508278,8.714061737
0.665466581,9.677771568,-16.57508278,8.714061737
0.675466581,21.59881401,-16.23051643,5.83310318
0.685466581,21.93859482,-15.55574036,4.976472855
0.695466581,21.57009888,-15.05324745,5.076971531
0.705466581,21.29253197,-14.27797318,5.900102615
0.715466581,21.94816589,-12.08614731,7.599006653
0.725466581,22.86701012,-11.25344467,7.766504288
0.735466581,24.41277313,-10.67916775,7.292725086
0.745466581,26.42274475,-10.39202881,6.608377934
0.755466581,28.19343185,-10.60738277,6.125027657
0.765466581,29.34677315,-10.46381378,6.335596085
0.775466581,29.93540764,-8.013563156,8.42213726
0.785466581,31.28017426,-6.793223381,9.197412491
0.795466581,34.05106354,-6.20458889,9.058628082
0.805466581,34.05106354,-6.20458889,9.058628082
0.815466581,38.2767868,-6.046662807,5.00040102
0.825466581,39.78905106,-7.348358154,3.669991732
0.835466581,40.65525436,-9.401400566,3.306282759
0.845466581,40.65525436,-9.401400566,3.306282759
0.855466581,36.31945801,-9.300901413,9.747760773
0.865466581,35.26661682,-9.607182503,11.96830082
0.875466581,35.30968857,-10.80838013,12.85843086
0.885466581,36.15674591,-12.10050392,12.60479164
0.895466581,37.24787521,-13.41177082,11.47059345
0.905466581,36.23331833,-14.88096428,7.651648521
0.915466581,34.37170029,-15.61316776,6.732804775
0.925466581,34.37170029,-15.61316776,6.732804775
0.935466581,32.2899437,-17.77149391,9.537193298
0.945466581,33.29971695,-20.10688782,12.88235855
0.955466581,34.78326797,-22.60499573,15.39003658
0.965466581,34.78326797,-22.60499573,15.39003658
0.975466581,34.78326797,-22.60499573,15.39003658
0.985466581,34.78326797,-22.60499573,15.39003658
0.995466581,34.78326797,-22.60499573,15.39003658
1.005466581,43.52664185,-34.47817993,9.072985649
1.015466581,45.1394043,-37.32564163,7.259225845
1.025466581,46.91966248,-41.46522522,6.790232658
1.035466581,46.91966248,-41.46522522,6.790232658
1.045466581,46.91966248,-41.46522522,6.790232658
1.055466581,39.31048584,-61.38786316,20.25703812
1.065466581,34.76890945,-65.15895081,22.85564423
1.075466581,30.0933342,-67.16892242,23.50649071
1.085466581,26.02553558,-67.88198853,23.56870461
1.095466581,26.02553558,-67.88198853,23.56870461
1.105466581,11.53938675,-69.10232544,34.43212128
1.115466581,8.510073662,-67.69055939,47.84628296
1.125466581,7.87358284,-66.92485809,57.87221146
1.135466581,7.87358284,-66.92485809,57.87221146
1.145466581,7.87358284,-66.92485809,57.87221146
1.155466581,7.87358284,-66.92485809,57.87221146
1.165466581,-12.27876949,-53.53462219,18.94098663
1.175466581,-22.44347954,-49.74438858,9.771689415
1.185466581,-32.27319717,-44.81996155,-0.034097724
1.195466581,-32.27319717,-44.81996155,-0.034097724
1.205466581,-38.72424698,-35.1385994,-9.212965012
1.215466581,-38.72424698,-35.1385994,-9.212965012
1.225466581,-38.72424698,-35.1385994,-9.212965012
1.235466581,-38.72424698,-35.1385994,-9.212965012
1.245466581,-38.72424698,-35.1385994,-9.212965012
1.255466581,-16.327425,-14.50768375,-7.040282249
1.265466581,-16.29871178,-13.26341629,-9.179466248
1.275466581,-15.94935894,-13.10070419,-10.75394344
1.285466581,-15.35115337,-13.0576334,-10.63430214
1.295466581,-14.12602806,-11.85165024,-3.336193085
1.305466581,-13.35075378,-12.08136177,-0.756730139
1.315466581,-12.17827129,-12.30628681,-0.211166605
1.325466581,-10.64686394,-11.49751282,-0.416949332
1.335466581,-9.201599121,-10.36810017,-0.986441135
1.345466581,-8.196614265,-9.879964828,-1.862214208
1.355466581,-8.196614265,-9.879964828,-1.862214208
1.365466581,-8.196614265,-9.879964828,-1.862214208
1.375466581,-8.196614265,-9.879964828,-1.862214208
1.385466581,-8.196614265,-9.879964828,-1.862214208
1.395466581,-5.330012321,-13.35434341,1.717448473
1.405466581,-6.043073654,-13.45962715,3.330210924
1.415466581,-5.722435474,-13.2203455,5.254040241
1.425466581,-5.722435474,-13.2203455,5.254040241
1.435466581,-0.233300209,-12.19143105,6.574878216
1.445466581,1.489532113,-11.8468647,5.488536835
1.455466581,2.666800737,-11.82772255,4.009772778
1.465466581,3.437289715,-11.88036442,2.688934565
1.475466581,4.078566074,-12.21057415,1.660020709
1.485466581,4.078566074,-12.21057415,1.660020709
1.495466581,4.078566074,-12.21057415,1.660020709
1.505466581,5.16969347,-16.57029724,2.239083767
1.515466581,5.676971912,-18.22612953,3.981058598
1.525466581,7.002595425,-20.17867279,6.594020844
1.535466581,8.883354187,-22.26042938,9.317052841
1.545466581,8.883354187,-22.26042938,9.317052841
1.555466581,14.18106365,-24.49053955,16.4141655
1.565466581,15.94218063,-23.94976234,17.8211441
