Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.048150054,3.762713671,0.078963146,10.54696369
0.056805783,3.992424488,1.385444283,9.149555206
0.066805783,2.992224693,1.988435626,8.958129883
0.076805783,1.987239242,2.069791555,8.704490662
0.086805783,1.403390527,1.964507341,9.216554642
0.096805783,0.876969516,1.883151412,10.31725311
0.106805783,0.939182878,1.677368641,9.83868885
0.116805783,1.709671736,0.978664458,8.359924316
0.126805783,1.044467092,-0.193818629,8.417351723
0.136805783,0.50368917,-0.533599436,8.063214302
0.146805783,-0.070588268,-0.25603202,9.039485931
0.156805783,-0.453439891,0.452243477,10.36032391
0.166805783,-0.453439891,0.452243477,10.36032391
0.176805783,0.556331277,1.318445325,10.27896786
0.186805783,0.556331277,1.318445325,10.27896786
0.196805783,0.355334163,2.849851847,5.708676815
0.206805783,-0.137587309,2.778067112,7.287939548
0.216805783,-0.309870541,2.596212626,7.431509018
0.226805783,-0.587437987,2.897708178,6.972086906
0.236805783,-1.290927768,3.371487141,7.579864025
0.246805783,-2.051845312,4.007977962,8.154141426
0.256805783,-3.678964853,6.352943897,6.503093719
0.266805783,-4.540380955,7.439285755,6.393023968
0.276805783,-4.889732838,7.075576782,7.41236639
0.286805783,-4.889732838,7.075576782,7.41236639
0.296805783,-1.692921996,0.538385093,8.94377327
0.306805783,-0.386440843,-2.127219439,8.283353806
0.316805783,-0.386440843,-2.127219439,8.283353806
0.326805783,-0.386440843,-2.127219439,8.283353806
0.336805783,-3.477967739,1.351944804,8.517850876
0.346805783,-3.477967739,1.351944804,8.517850876
0.356805783,-4.70787859,0.519242525,8.469993591
0.366805783,-4.70787859,0.519242525,8.469993591
0.376805783,-3.774677753,-2.347358942,7.833503246
0.386805783,-3.774677753,-2.347358942,7.833503246
0.396805783,-3.774677753,-2.347358942,7.833503246
0.406805783,-7.856832981,0.002392823,8.948558807
0.416805783,-7.052844524,0.20817557,9.139984131
0.426805783,-6.421139717,-0.667597532,9.479764938
0.436805783,-5.435296535,-1.653440475,10.22632599
0.446805783,-5.435296535,-1.653440475,10.22632599
0.456805783,-3.712464333,-2.079362869,13.65763378
0.466805783,-2.803191662,-1.916650891,15.16989708
0.476805783,-1.659422517,-1.90229404,15.90688705
0.486805783,-0.218943268,-2.160718918,16.87358665
0.496805783,1.111466169,-2.203789711,18.11785507
0.506805783,2.274377823,-2.194218397,17.73500252
0.516805783,2.274377823,-2.194218397,17.73500252
0.526805783,2.274377823,-2.194218397,17.73500252
0.536805783,4.10249424,-2.868994236,15.92602921
0.546805783,4.719842434,-2.806781054,15.46660709
0.556805783,5.432903767,-2.840280533,14.86361599
0.566805783,5.992824078,-3.074777126,14.27019596
0.576805783,5.992824078,-3.074777126,14.27019596
0.586805783,6.480959892,-4.0127635,11.88215923
0.596805783,6.586244106,-4.161118507,11.57587814
0.606805783,6.887740135,-4.649254322,11.3892374
0.616805783,7.24666357,-5.52981329,11.37966633
0.626805783,8.088936806,-6.257231236,11.68594742
0.636805783,8.088936806,-6.257231236,11.68594742
0.646805783,11.802598,-9.056833267,10.43210888
0.656805783,12.57308674,-9.784252167,10.16889763
0.666805783,14.01835155,-10.3776722,10.83888817
0.676805783,16.10489273,-10.861022,11.95872974
0.686805783,18.57428551,-11.8468647,13.24128246
0.696805783,21.28296089,-13.12941742,14.24148178
0.706805783,28.00679207,-14.52204037,15.34696579
0.716805783,30.7346096,-15.32602882,14.57647705
0.726805783,32.78286743,-16.18265915,13.68634701
0.736805783,32.78286743,-16.18265915,13.68634701
0.746805783,36.5826683,-19.40339851,13.51884937
0.756805783,37.55415344,-22.01636124,14.42812252
0.766805783,36.78845215,-29.63510895,17.61536217
0.776805783,36.78845215,-29.63510895,17.61536217
0.786805783,34.53441238,-39.18725586,25.29153633
0.796805783,32.34737396,-43.91068649,29.00041199
0.806805783,29.75833893,-47.60042191,32.07279587
0.816805783,31.20838928,-53.52026367,35.2648201
0.826805783,31.0600338,-62.10571289,31.60380363
0.836805783,31.0600338,-62.10571289,31.60380363
0.846805783,21.45524406,-86.02436829,23.01357079
0.856805783,13.39143181,-81.7077179,28.43570518
0.866805783,8.701499939,-78.81718445,28.29213715
0.876805783,6.490531445,-79.07082367,24.66940308
0.886805783,3.016152859,-78.28119659,20.62074661
0.896805783,-10.28794098,-69.47560883,21.24766731
0.906805783,-17.05962944,-62.98148346,22.58286285
0.916805783,-22.65883446,-56.3342247,17.26601028
0.926805783,-26.41077995,-48.87818909,12.03051376
0.936805783,-26.41077995,-48.87818909,12.03051376
0.946805783,-36.81477356,-31.80300522,10.83410263
0.956805783,-37.17369461,-25.12703133,9.278767586
0.966805783,-37.17369461,-25.12703133,9.278767586
0.976805783,-8.766105652,-21.56172562,8.714061737
0.986805783,-0.405583441,-20.33659935,10.02532864
0.996805783,4.533202648,-18.36491394,11.09252739
1.006805783,6.959524632,-15.92901993,11.01595688
1.016805783,7.256234646,-13.02891922,10.29332447
1.026805783,7.256234646,-13.02891922,10.29332447
1.036805783,0.537188709,-4.285545349,7.575078487
1.046805783,-1.075573802,-2.935993433,5.837889194
1.056805783,-1.075573802,-2.935993433,5.837889194
1.066805783,-2.889333248,-1.194018483,2.598007202
1.076805783,-3.162115097,-0.476171702,1.415952802
1.086805783,-3.233899832,0.136390895,0.521037102
1.096805783,-3.233899832,0.136390895,0.521037102
1.106805783,-1.262213945,-0.39960137,3.406781197
1.116805783,-0.573081017,-0.313459754,5.469394207
1.126805783,0.24047868,-0.423529595,7.240083218
1.136805783,0.269192547,-0.677168787,7.838288784
1.146805783,-0.324227482,-0.681954443,7.852645874
1.156805783,-1.601994753,-0.064606212,8.115856171
1.166805783,-2.003988981,-0.150747821,7.661220074
1.176805783,-2.003988981,-0.524028182,7.125227451
1.186805783,-1.621137381,-0.792024314,7.22094059
1.196805783,-1.042074203,-0.91166544,7.895716667
1.206805783,-0.563509762,-1.088734269,8.24506855
1.216805783,-0.563509762,-1.088734269,8.24506855
1.226805783,-0.563509762,-1.088734269,8.24506855
1.236805783,0.125623181,-1.763510346,7.297510624
