Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.056025855,4.638486862,3.333201885,6.55095005
0.064682001,4.408775806,3.136990547,7.287939548
0.074682001,0,0,0
0.084682001,3.915854216,3.141776085,7.819146156
0.094682001,3.566502094,3.251846075,7.804789066
0.104682001,3.786641836,3.108276606,8.379066467
0.114682001,3.748356581,3.247060299,8.489136696
0.124682001,3.676572084,3.495913982,8.364709854
0.134682001,3.676572084,3.495913982,8.364709854
0.144682001,3.676572084,3.495913982,8.364709854
0.154682001,3.676572084,3.495913982,8.364709854
0.164682001,4.260420799,3.333201885,8.972486496
0.174682001,4.126422882,3.16570425,9.379266739
0.184682001,3.877569199,3.285345554,9.407979965
0.194682001,3.877569199,3.285345554,9.407979965
0.204682001,3.877569199,3.285345554,9.407979965
0.214682001,3.877569199,3.285345554,9.407979965
0.224682001,4.356133461,4.14197588,8.106285095
0.234682001,4.480560303,4.098905087,8.225926399
0.244682001,4.332205296,4.113262177,8.623134613
0.254682001,3.839283943,4.146761417,9.431908607
0.264682001,2.863012314,3.940979004,10.46082211
0.274682001,2.51844573,4.060619831,10.73360443
0.284682001,2.475374937,4.223331928,10.96331501
0.294682001,2.685943365,4.314259052,11.00160027
0.304682001,3.111865759,4.285545349,10.72403336
0.314682001,3.399004459,4.33340168,10.18804073
0.324682001,3.399004459,4.33340168,10.18804073
0.334682001,3.399004459,4.33340168,10.18804073
0.344682001,3.399004459,4.33340168,10.18804073
0.354682001,2.834298372,4.55354166,7.986643791
0.364682001,2.824727058,4.510470867,7.613363266
0.374682001,2.867797852,4.448257446,7.364510059
0.384682001,2.973082066,4.352544308,7.187440872
0.394682001,3.480360508,3.993621111,6.881159782
0.404682001,3.671786308,3.696911097,6.68016243
0.414682001,3.724428415,3.371487141,6.369095802
0.424682001,3.595216036,3.079562664,6.077171326
0.434682001,3.595216036,3.079562664,6.077171326
0.444682001,3.17407918,2.629712105,5.957530022
0.454682001,3.0448668,2.371287346,5.512465
0.464682001,3.212364435,2.146361828,5.096114159
0.474682001,3.355933666,1.763510346,4.813760757
0.484682001,3.47557497,1.385444283,4.507479668
0.494682001,3.609572887,1.045663476,4.335196495
0.504682001,3.719642878,0.643669307,4.31126833
0.514682001,3.767499208,0.265603304,4.316053867
0.524682001,3.767499208,0.265603304,4.316053867
0.534682001,3.767499208,0.265603304,4.316053867
0.544682001,3.346362352,-1.323230863,3.191427231
0.554682001,2.992224693,-1.524227977,2.511865616
0.564682001,2.633301258,-1.801795483,1.794018745
0.574682001,2.360519648,-2.184647083,1.162313581
0.584682001,2.360519648,-2.184647083,1.162313581
0.584682001,2.030309916,-3.352344513,0.324825674
0.604682001,2.13559413,-4.701896667,0.119042926
0.614682001,2.9491539,-5.481956482,0.698105991
0.624682001,4.188635826,-5.974878311,1.870589137
0.634682001,4.188635826,-5.974878311,1.870589137
0.644682001,4.188635826,-5.974878311,1.870589137
0.654682001,4.188635826,-5.974878311,1.870589137
0.664682001,4.188635826,-5.974878311,1.870589137
0.664682001,7.318448067,-8.865407944,0.894317448
0.684682001,5.911468506,-9.812965393,2.751147747
0.694682001,5.408975601,-10.13838959,4.890331268
0.704682001,6.083751678,-10.47817039,7.402794838
0.714682001,8.74935627,-11.33480072,10.23111153
0.724682001,8.74935627,-11.33480072,10.23111153
0.734682001,11.42931747,-12.21057415,9.264410973
0.744682001,12.59222889,-12.53599739,8.082356453
0.754682001,13.68814182,-12.66999626,6.69451952
0.764682001,14.93240929,-12.67956734,5.445466042
0.774682001,14.93240929,-12.67956734,5.445466042
0.784682001,14.93240929,-12.67956734,5.445466042
0.794682001,14.93240929,-12.67956734,5.445466042
0.804682001,13.39143181,-11.17208862,2.200798512
0.814682001,12.72622681,-10.99501991,2.42572403
0.824682001,12.19502068,-11.11944675,2.569293261
0.834682001,11.82174015,-11.03809071,2.669791937
0.844682001,11.82174015,-11.03809071,2.669791937
0.854682001,12.52523041,-9.927821159,2.684148788
0.864682001,12.86979675,-9.535398483,2.009372711
0.874682001,13.08036518,-9.095118523,1.19581306
0.884682001,12.58744335,-9.066405296,0.688534737
0.894682001,13.40100288,-9.56411171,1.559522152
0.904682001,16.39681625,-10.28195858,3.650849104
0.914682001,18.80878258,-10.00917721,4.761118889
0.924682001,21.61317062,-9.64068222,6.014957905
0.934682001,24.35534477,-9.233902931,6.852446079
0.944682001,26.64766884,-8.769695282,7.383652687
0.954682001,28.49492836,-8.257631302,7.742575645
0.954682001,28.49492836,-8.257631302,7.742575645
0.974682001,28.49492836,-8.257631302,7.742575645
0.984682001,28.49492836,-8.257631302,7.742575645
0.994682001,28.49492836,-8.257631302,7.742575645
1.004682001,36.04188919,-9.09990406,4.354339123
1.014682001,35.98925018,-9.43489933,3.349353552
1.024682001,35.40539932,-10.44467068,2.966501951
1.034682001,33.4576416,-12.73699474,3.602992773
1.044682001,32.72065353,-13.84726429,3.981058598
1.054682001,32.39522934,-14.5268259,4.158127785
1.064682001,32.15594864,-14.81875038,4.258625984
1.074682001,32.17030334,-15.68973827,3.966701746
1.084682001,32.32823181,-16.86222076,3.598206997
1.094682001,32.48615646,-18.35534286,3.689134359
1.104682001,32.75415421,-23.06920242,5.134399414
1.114682001,32.72543716,-25.92144775,7.082156658
1.124682001,33.0556488,-28.53441048,9.628120422
1.134682001,34.21855927,-31.27179909,12.32243824
1.144682001,34.21855927,-31.27179909,12.32243824
1.154682001,40.83710861,-37.12942886,14.46162224
1.164682001,47.45565414,-45.57609177,11.93001556
1.174682001,49.30291367,-52.64927673,11.57587814
1.184682001,48.44628525,-58.56433487,13.26042461
1.194682001,48.44628525,-58.56433487,13.26042461
1.204682001,40.13840485,-65.05845642,21.01317024
1.214682001,35.43889999,-67.74320221,25.4638195
1.224682001,28.69592476,-71.75357056,29.77090073
1.234682001,27.06402016,-73.62476349,28.12463951
1.244682001,26.9683075,-76.14679718,24.91825676
1.254682001,27.52344322,-79.89395905,20.85524368
1.264682001,28.02593613,-84.90452576,16.78265953
1.274682001,25.14497757,-87.75676727,13.10249901
1.284682001,25.14497757,-87.75676727,13.10249901
1.284682001,18.63171387,-85.13902283,11.23131084
1.304682001,18.63171387,-85.13902283,11.23131084
1.314682001,-5.444868088,-67.66184235,25.13839722
1.324682001,-10.75693417,-63.40740585,19.25683784
1.334682001,-14.76730537,-59.69374466,9.905687332
1.344682001,-17.37069511,-56.4969368,-1.656431437
1.354682001,-17.37069511,-56.4969368,-1.656431437
1.354682001,-22.21855545,-45.64309311,-20.76551247
1.374682001,-25.5637207,-33.51626587,-18.75554276
1.384682001,-24.7358036,-28.67797852,-12.0412817
1.394682001,-21.73041916,-25.06960297,-5.121238708
1.404682001,-16.89691734,-23.10748863,-0.402592421
1.414682001,-11.7906332,-22.49014091,0.836889744
1.424682001,-8.627322197,-19.75753593,-6.997211456
1.434682001,-9.316454887,-17.49871254,-13.13719463
1.444682001,-9.316454887,-17.49871254,-13.13719463
1.454682001,-9.249456406,-15.34517193,-21.07658005
1.464682001,-9.570094109,-15.17767429,-21.66521454
1.474682001,-9.421739578,-15.07717514,-20.50708771
1.484682001,-9.421739578,-15.07717514,-20.50708771
1.494682001,-14.93001652,-11.16251755,-10.96929741
1.504682001,-14.11645699,-10.92802143,-9.131608963
1.514682001,-12.94876003,-10.48774147,-8.150551796
1.524682001,-11.13978577,-10.05703354,-7.916055679
1.534682001,-9.345169067,-9.678967476,-8.351549149
1.544682001,-7.93818903,-9.410971642,-9.581459999
1.554682001,-7.93818903,-9.410971642,-9.581459999
1.564682001,-3.908675671,-9.377471924,-12.31884956
1.574682001,-2.784049034,-9.645467758,-12.51027489
1.584682001,-2.784049034,-9.645467758,-12.51027489
1.594682001,-1.176072359,-9.650253296,-10.88794136
1.594682001,-2.784049034,-9.645467758,-12.51027489
1.614682001,-0.17587246,-8.583054543,-7.657630444
1.624682001,-0.262014091,-8.20498848,-7.126423836
1.634682001,-0.281156659,-8.032705307,-6.671787739
1.644682001,-0.285942316,-8.061419487,-6.245865345
1.654682001,-0.285942316,-8.109275818,-6.030511379
1.664682001,-0.285942316,-7.831708431,-5.604588985
1.674682001,-0.084945202,-7.247859955,-4.52781868
1.684682001,1.192822099,-6.21894598,-1.828714728
1.694682001,2.14995122,-6.147161484,-0.416949332
1.704682001,3.255435228,-6.39601469,1.205384374
1.714682001,4.298706055,-6.802794933,2.674577475
1.724682001,5.255835056,-7.329215527,4.028914928
1.734682001,6.102894306,-7.932207108,5.569892883
1.744682001,6.102894306,-7.932207108,5.569892883
1.754682001,6.102894306,-7.932207108,5.569892883
1.764682001,9.069993973,-8.831908226,10.44646549
1.774682001,9.069993973,-8.831908226,10.44646549
1.784682001,10.44826031,-9.095118523,9.403194427
1.794682001,10.40518951,-8.961120605,7.905287743
1.804682001,10.15633583,-8.874979019,5.522036552
1.814682001,10.26640511,-8.98026371,4.718048096
1.824682001,10.78804111,-9.052047729,4.34476757
1.834682001,10.78804111,-9.052047729,4.34476757
1.844682001,10.78804111,-9.052047729,4.34476757
1.854682001,13.35793209,-9.363115311,7.211369038
1.864682001,13.58764362,-9.521040916,8.206783295
1.874682001,13.58764362,-9.521040916,8.206783295
1.884682001,12.30987644,-9.856036186,7.493722439
1.894682001,11.86959648,-10.44467068,6.393023968
1.904682001,11.45803165,-11.6267252,5.234897614
1.914682001,11.14217854,-12.80877972,4.263411522
1.924682001,10.67318535,-13.69890976,3.392424345
1.934682001,9.553344727,-14.88574982,3.421138287
1.944682001,9.553344727,-14.88574982,3.421138287
1.954682001,8.873783112,-15.93859196,6.483951092
1.964682001,9.59641552,-17.08714676,7.134799004
1.974682001,9.59641552,-17.08714676,7.134799004
1.984682001,11.08953667,-19.39861298,6.268597126
1.994682001,11.84566879,-20.53759766,6.589235306
2.004682001,14.00399494,-22.0737896,9.034700394
2.014682001,15.51625824,-22.22214317,10.97767162
2.024682001,17.88515282,-22.43749809,11.26481056
2.034682001,20.34497452,-22.07857513,9.786046028
2.044682001,22.17787743,-20.94916153,6.976872444
2.054682001,23.02493668,-19.45604134,3.650849104
2.064682001,23.02493668,-19.45604134,3.650849104
2.074682001,23.02493668,-19.45604134,3.650849104
2.084682001,23.02493668,-19.45604134,3.650849104
2.094682001,24.13042068,-18.50848389,-0.632303357
2.104682001,26.12124825,-17.6327095,2.306082726
2.114682001,29.327631,-16.73779488,5.268397331
2.124682001,34.05106354,-15.80937958,7.316653252
2.134682001,40.02354813,-13.67976665,7.331010342
2.144682001,41.95694733,-12.96191978,5.478965759
2.154682001,42.54558182,-12.72742367,2.69850564
2.164682001,42.17230225,-12.57428265,0.324825674
2.174682001,40.91367722,-13.00020504,-1.718644857
2.184682001,39.40141296,-13.73240948,-2.632703066
2.194682001,39.40141296,-13.73240948,-2.632703066
2.204682001,39.40141296,-13.73240948,-2.632703066
2.214682001,35.63032532,-16.58943939,5.938387394
2.224682001,35.4149704,-17.39821434,8.001000404
2.234682001,35.91267776,-19.04926109,9.049057007
2.244682001,37.15216064,-21.88236237,9.508479118
2.254682001,38.62614059,-24.95953369,9.953543663
2.264682001,43.22514343,-32.11885834,12.7435751
2.274682001,46.95316315,-35.98087311,15.41396523
2.284682001,51.5282402,-40.16352844,19.00319862
2.294682001,51.5282402,-40.16352844,19.00319862
2.294682001,57.1753006,-45.57130814,22.8030014
2.314682001,66.50252533,-58.30112457,23.769701
2.324682001,66.50252533,-58.30112457,23.769701
2.334682001,57.71607971,-92.0255661,21.35773659
2.344682001,46.46502686,-97.84012604,26.59801865
2.354682001,36.96073532,-102.5922699,33.06342697
2.364682001,28.7007103,-103.3771133,36.68615723
2.374682001,24.42712975,-104.8080215,36.33201981
2.384682001,17.08116531,-106.0762177,34.66661453
2.394682001,17.08116531,-106.0762177,34.66661453
2.404682001,17.08116531,-106.0762177,34.66661453
2.414682001,17.08116531,-106.0762177,34.66661453
2.424682001,4.853840828,-79.16175079,22.69293213
2.434682001,-0.132801652,-74.08418274,16.85923004
2.444682001,-6.909275532,-70.55237579,11.02074242
2.454682001,-6.909275532,-70.55237579,11.02074242
2.464682001,-31.70848846,-58.84668732,1.401595831
2.474682001,-31.70848846,-58.84668732,1.401595831
2.474682001,-37.96811295,-47.82056046,-0.297308207
2.494682001,-33.9960289,-28.63490868,1.932802439
2.504682001,-24.00838661,-27.72563553,1.286740422
2.514682001,-13.2215414,-22.81077766,-4.427320004
2.524682001,-10.53200912,-20.65245247,-7.442276478
2.534682001,-8.823533058,-19.90589142,-10.3663063
2.544682001,-8.713463783,-18.92962074,-12.68255806
2.554682001,-8.713463783,-18.92962074,-12.68255806
2.564682001,-10.16351414,-16.95314789,-13.2329073
